DEPARTMENT | OVERDUE
PWE Public Works Engineering | -39.04
SWM Solid Waste Management | -9.86
SWM Solid Waste Management | 2.22
PWE Public Works Engineering | -39.95
311 HelpLine | 0.12
PWE Public Works Engineering | -12.19
NS Neighborhood Services | -163.37
311 HelpLine | -2.71
SWM Solid Waste Management | 2.62
PWE Public Works Engineering | -0.13
PWE Public Works Engineering | -6.20
PWE Public Works Engineering | -13.73
NS Neighborhood Services | -23.05
PWE Public Works Engineering | -39.84
SWM Solid Waste Management | -11.96
SWM Solid Waste Management | -2.78
NS Neighborhood Services | -172.03
NS Neighborhood Services | -163.38
NS Neighborhood Services | -163.38
SWM Solid Waste Management | -6.83
SWM Solid Waste Management | -23.78
PWE Public Works Engineering | -29.95
PWE Public Works Engineering | -39.84
PWE Public Works Engineering | -19.09
SWM Solid Waste Management | -9.87
PWE Public Works Engineering | -18.06
PWE Public Works Engineering | -39.93
311 HelpLine | -2.69
NS Neighborhood Services | -163.38
PWE Public Works Engineering | -51.15
NS Neighborhood Services | -163.38
SWM Solid Waste Management | -6.84
311 HelpLine | 15.75
SWM Solid Waste Management | -9.87
PWE Public Works Engineering | -2.92
SWM Solid Waste Management | -20.12
PWE Public Works Engineering | -32.79
PWE Public Works Engineering | -1.82
SWM Solid Waste Management | -8.96
PR Parks and Recreation | -179.98
PWE Public Works Engineering | -27.13
SWM Solid Waste Management | -3.12
SWM Solid Waste Management | -2.90
PWE Public Works Engineering | -14.13
PWE Public Works Engineering | -5.06
PWE Public Works Engineering | -14.89
SWM Solid Waste Management | -5.86
PWE Public Works Engineering | -2.99
PWE Public Works Engineering | -7.85
PR Parks and Recreation | -163.39
PWE Public Works Engineering | -7.84
PWE Public Works Engineering | -13.92
PR Parks and Recreation | -163.39
SWM Solid Waste Management | -3.85
PWE Public Works Engineering | -0.92
SWM Solid Waste Management | -9.04
SWM Solid Waste Management | -2.78
SWM Solid Waste Management | -3.78
SWM Solid Waste Management | -6.96
PWE Public Works Engineering | -6.27
SWM Solid Waste Management | 4.91
NS Neighborhood Services | -163.39
PWE Public Works Engineering | -32.14
NS Neighborhood Services | -163.39
PWE Public Works Engineering | -14.94
NS Neighborhood Services | -163.40
SWM Solid Waste Management | -8.96
PR Parks and Recreation | -7.99
PWE Public Works Engineering | -20.08
NS Neighborhood Services | -172.02
PWE Public Works Engineering | -8.03
PWE Public Works Engineering | -14.98
PWE Public Works Engineering | -0.89
PR Parks and Recreation | -170.05
NS Neighborhood Services | -163.40
PWE Public Works Engineering | -0.93
PWE Public Works Engineering | -0.89
PR Parks and Recreation | -19.98
NS Neighborhood Services | -163.40
PWE Public Works Engineering | -12.04
NS Neighborhood Services | -163.40
SWM Solid Waste Management | -2.92
NS Neighborhood Services | -164.04
NS Neighborhood Services | -163.40
NS Neighborhood Services | -177.15
PWE Public Works Engineering | -2.87
NS Neighborhood Services | -13.40
PWE Public Works Engineering | -19.09
NS Neighborhood Services | -163.40
PWE Public Works Engineering | -4.95
SWM Solid Waste Management | -2.84
PWE Public Works Engineering | -177.07
PWE Public Works Engineering | 2.60
SWM Solid Waste Management | -13.40
NS Neighborhood Services | -172.03
NS Neighborhood Services | -163.40
NS Neighborhood Services | -164.04
SWM Solid Waste Management | -6.87
PWE Public Works Engineering | -2.84
NS Neighborhood Services | -163.41
NS Neighborhood Services | -163.41
PWE Public Works Engineering | -8.05
SWM Solid Waste Management | -4.97
PR Parks and Recreation | -163.41
SWM Solid Waste Management | -3.85
SWM Solid Waste Management | 2.19
PWE Public Works Engineering | -20.94
SWM Solid Waste Management | -3.84
NS Neighborhood Services | -163.41
PWE Public Works Engineering | -177.29
SWM Solid Waste Management | -2.90
NS Neighborhood Services | -163.41
NS Neighborhood Services | -163.75
NS Neighborhood Services | -163.41
PWE Public Works Engineering | -59.05
NS Neighborhood Services | -20.93
PWE Public Works Engineering | -14.91
NS Neighborhood Services | -163.41
PWE Public Works Engineering | -29.93
PWE Public Works Engineering | -39.11
PWE Public Works Engineering | -8.41
NS Neighborhood Services | -163.41
PWE Public Works Engineering | -20.94
NS Neighborhood Services | -163.41
PWE Public Works Engineering | -22.97
NS Neighborhood Services | -163.41
311 HelpLine | -13.41
PWE Public Works Engineering | -13.57
NS Neighborhood Services | -163.41
SWM Solid Waste Management | -8.98
PWE Public Works Engineering | -6.30
PWE Public Works Engineering | -2.97
NS Neighborhood Services | -163.42
PWE Public Works Engineering | 2.58
PWE Public Works Engineering | -15.92
NS Neighborhood Services | -22.03
SWM Solid Waste Management | -2.93
PWE Public Works Engineering | -2.50
SWM Solid Waste Management | -10.00
SWM Solid Waste Management | -23.81
PWE Public Works Engineering | -27.66
SWM Solid Waste Management | -1.14
SWM Solid Waste Management | -1.19
SWM Solid Waste Management | -4.14
PWE Public Works Engineering | -28.15
SWM Solid Waste Management | -2.86
PM Parking Management | -8.11
NS Neighborhood Services | -180.00
SWM Solid Waste Management | -26.89
SWM Solid Waste Management | -13.42
PWE Public Works Engineering | -29.94
PWE Public Works Engineering | -28.88
NS Neighborhood Services | -173.14
PWE Public Works Engineering | -8.96
PWE Public Works Engineering | -2.96
SWM Solid Waste Management | -0.82
PR Parks and Recreation | -13.17
PWE Public Works Engineering | -177.01
SWM Solid Waste Management | -9.89
NS Neighborhood Services | -163.42
NS Neighborhood Services | -23.13
SWM Solid Waste Management | -2.86
NS Neighborhood Services | -163.42
PWE Public Works Engineering | -12.93
SWM Solid Waste Management | -3.71
NS Neighborhood Services | -163.43
SWM Solid Waste Management | 0.95
PWE Public Works Engineering | -2.87
NS Neighborhood Services | -163.43
NS Neighborhood Services | -163.43
PWE Public Works Engineering | -2.87
PWE Public Works Engineering | -12.97
SWM Solid Waste Management | -12.00
PWE Public Works Engineering | -2.99
NS Neighborhood Services | -163.43
PWE Public Works Engineering | -26.23
NS Neighborhood Services | -163.43
SWM Solid Waste Management | -9.08
PWE Public Works Engineering | -10.97
NS Neighborhood Services | -163.43
PWE Public Works Engineering | -2.99
PWE Public Works Engineering | -3.43
SWM Solid Waste Management | -0.95
PWE Public Works Engineering | -1.04
SWM Solid Waste Management | -6.88
PWE Public Works Engineering | -39.90
SWM Solid Waste Management | -9.08
SWM Solid Waste Management | -2.95
PWE Public Works Engineering | -2.83
NS Neighborhood Services | -163.44
PWE Public Works Engineering | -0.95
PWE Public Works Engineering | -179.95
PWE Public Works Engineering | -2.99
PWE Public Works Engineering | -43.44
SWM Solid Waste Management | 1.87
PWE Public Works Engineering | -0.12
SWM Solid Waste Management | -2.87
SWM Solid Waste Management | -3.01
PWE Public Works Engineering | -14.94
PWE Public Works Engineering | -13.95
PWE Public Works Engineering | -13.20
SWM Solid Waste Management | -16.03
PWE Public Works Engineering | -3.00
PWE Public Works Engineering | -13.88
SWM Solid Waste Management | -7.95
PWE Public Works Engineering | -39.11
PWE Public Works Engineering | -14.93
SWM Solid Waste Management | -9.08
NS Neighborhood Services | -19.87
NS Neighborhood Services | -21.14
PWE Public Works Engineering | 2.70
PR Parks and Recreation | -163.45
SWM Solid Waste Management | -5.00
PWE Public Works Engineering | -0.88
NS Neighborhood Services | -163.45
PWE Public Works Engineering | -14.93
PWE Public Works Engineering | -33.73
SWM Solid Waste Management | -24.01
PWE Public Works Engineering | -39.15
PWE Public Works Engineering | -0.93
PWE Public Works Engineering | -8.08
PWE Public Works Engineering | -5.07
PWE Public Works Engineering | -2.86
PWE Public Works Engineering | -5.27
PWE Public Works Engineering | 2.65
PWE Public Works Engineering | -6.22
SWM Solid Waste Management | -23.15
SWM Solid Waste Management | -2.96
PWE Public Works Engineering | -10.89
NS Neighborhood Services | -163.46
PWE Public Works Engineering | -14.96
SWM Solid Waste Management | -3.83
PWE Public Works Engineering | -12.82
PWE Public Works Engineering | -20.28
PWE Public Works Engineering | -14.92
PWE Public Works Engineering | -7.29
SWM Solid Waste Management | -2.90
SWM Solid Waste Management | -2.90
PWE Public Works Engineering | -6.67
PWE Public Works Engineering | -13.94
PWE Public Works Engineering | 2.30
PWE Public Works Engineering | -14.94
PWE Public Works Engineering | -2.92
PWE Public Works Engineering | -12.96
NS Neighborhood Services | -163.47
PM Parking Management | -13.84
SWM Solid Waste Management | 2.53
PWE Public Works Engineering | 2.29
SWM Solid Waste Management | -6.93
NS Neighborhood Services | -163.47
PWE Public Works Engineering | -29.14
PWE Public Works Engineering | -14.96
PWE Public Works Engineering | -16.99
NS Neighborhood Services | -163.47
SWM Solid Waste Management | 2.53
PWE Public Works Engineering | -24.18
PWE Public Works Engineering | -2.99
PWE Public Works Engineering | -0.92
PWE Public Works Engineering | -22.92
PWE Public Works Engineering | -19.92
SWM Solid Waste Management | -2.97
PWE Public Works Engineering | -20.99
SWM Solid Waste Management | -7.93
PWE Public Works Engineering | -8.13
NS Neighborhood Services | -15.05
PWE Public Works Engineering | -13.10
NS Neighborhood Services | -163.47
SWM Solid Waste Management | -4.23
NS Neighborhood Services | -15.91
NS Neighborhood Services | -22.89
PWE Public Works Engineering | -14.97
PR Parks and Recreation | -163.47
SWM Solid Waste Management | -3.05
PWE Public Works Engineering | -29.15
SWM Solid Waste Management | 2.12
SWM Solid Waste Management | -5.95
SWM Solid Waste Management | -6.93
PWE Public Works Engineering | -10.22
PWE Public Works Engineering | -19.01
SWM Solid Waste Management | -6.93
SWM Solid Waste Management | -2.19
SWM Solid Waste Management | -13.48
SWM Solid Waste Management | 6.52
PWE Public Works Engineering | -0.94
SWM Solid Waste Management | -9.13
PWE Public Works Engineering | -19.93
Finance | -73.48
SWM Solid Waste Management | -7.04
SWM Solid Waste Management | 1.73
PWE Public Works Engineering | -37.21
SWM Solid Waste Management | -3.22
NS Neighborhood Services | -165.18
PWE Public Works Engineering | -2.99
PWE Public Works Engineering | -13.92
SWM Solid Waste Management | -2.97
SWM Solid Waste Management | 1.97
PWE Public Works Engineering | -14.96
NS Neighborhood Services | -163.48
PWE Public Works Engineering | -0.86
SWM Solid Waste Management | -2.89
SWM Solid Waste Management | -6.28
PWE Public Works Engineering | -38.88
PWE Public Works Engineering | -8.18
SWM Solid Waste Management | -6.14
PWE Public Works Engineering | 15.54
NS Neighborhood Services | -13.49
NS Neighborhood Services | -13.49
NS Neighborhood Services | -13.49
PWE Public Works Engineering | -39.13
PWE Public Works Engineering | -8.12
PWE Public Works Engineering | -3.00
PWE Public Works Engineering | -14.98
NS Neighborhood Services | -27.11
SWM Solid Waste Management | -6.96
PWE Public Works Engineering | -13.94
SWM Solid Waste Management | -9.02
PWE Public Works Engineering | -28.93
SWM Solid Waste Management | -9.02
PWE Public Works Engineering | -13.18
PR Parks and Recreation | -13.23
PWE Public Works Engineering | -14.99
PWE Public Works Engineering | -19.98
PWE Public Works Engineering | -2.20
PWE Public Works Engineering | -1.95
SWM Solid Waste Management | 1.81
SWM Solid Waste Management | -2.93
PM Parking Management | -8.17
PM Parking Management | -14.22
PWE Public Works Engineering | -11.15
PWE Public Works Engineering | -2.12
SWM Solid Waste Management | -2.94
SWM Solid Waste Management | -3.95
SWM Solid Waste Management | -0.18
PWE Public Works Engineering | -0.94
PWE Public Works Engineering | -1.99
SWM Solid Waste Management | -11.97
PWE Public Works Engineering | -19.02
PWE Public Works Engineering | -2.88
PWE Public Works Engineering | -37.25
NS Neighborhood Services | -163.51
PWE Public Works Engineering | -15.18
PWE Public Works Engineering | -38.11
NS Neighborhood Services | -163.51
PWE Public Works Engineering | -8.14
NS Neighborhood Services | -163.51
PWE Public Works Engineering | -33.15
PWE Public Works Engineering | 2.49
PWE Public Works Engineering | -14.92
SWM Solid Waste Management | 2.49
NS Neighborhood Services | -163.51
SWM Solid Waste Management | -2.92
SWM Solid Waste Management | -3.00
PWE Public Works Engineering | -8.16
PWE Public Works Engineering | -6.71
SWM Solid Waste Management | -10.00
